id,title,description,master_system,business_objects
AS3_Adventureworks_sales_currency,currency,Lookup table containing standard ISO currencies.,AS3,AS3_Adventureworks_sales_currency
AS3_Adventureworks_sales_currencyrate,currencyrate,Currency exchange rates.,AS3,AS3_Adventureworks_sales_currencyrate
AS3_Adventureworks_sales_creditcard,creditcard,Customer credit card information.,AS3,AS3_Adventureworks_sales_creditcard
AS3_Adventureworks_sales_personcreditcard,personcreditcard,Cross-reference table mapping people to their credit card information in the CreditCard table.,AS3,AS3_Adventureworks_sales_personcreditcard
AS3_Adventureworks_sales_customer,customer,Current customer information. Also see the Person and Store tables.,AS3,AS3_Adventureworks_sales_customer
AS3_Adventureworks_purchasing_vendor,vendor,Companies from whom Adventure Works Cycles purchases parts or other goods.,AS3,AS3_Adventureworks_purchasing_vendor
AS3_Adventureworks_purchasing_shipmethod,shipmethod,Shipping company lookup table.,AS3,AS3_Adventureworks_purchasing_shipmethod
AS3_Adventureworks_sales_salesorderheader,salesorderheader,General sales order information.,AS3,AS3_Adventureworks_sales_salesorderheader
AS3_Adventureworks_sales_salesorderdetail,salesorderdetail,Individual products associated with a specific sales order. See SalesOrderHeader.,AS3,AS3_Adventureworks_sales_salesorderdetail
AS3_Adventureworks_sales_salesperson,salesperson,Sales representative current information.,AS3,AS3_Adventureworks_sales_salesperson
AS3_Adventureworks_sales_salespersonquotahistory,salespersonquotahistory,Sales performance tracking.,AS3,AS3_Adventureworks_sales_salespersonquotahistory
AS3_Adventureworks_sales_salesterritory,salesterritory,Sales territory lookup table.,AS3,AS3_Adventureworks_sales_salesterritory
AS3_Adventureworks_sales_salestaxrate,salestaxrate,Tax rate lookup table.,AS3,AS3_Adventureworks_sales_salestaxrate
AS3_Adventureworks_sales_salesterritoryhistory,salesterritoryhistory,Sales representative transfers to other sales territories.,AS3,AS3_Adventureworks_sales_salesterritoryhistory
AS3_Adventureworks_sales_specialofferproduct,specialofferproduct,Cross-reference table mapping products to special offer discounts.,AS3,AS3_Adventureworks_sales_specialofferproduct
AS3_Adventureworks_sales_salesreason,salesreason,Lookup table of customer purchase reasons.,AS3,AS3_Adventureworks_sales_salesreason
AS3_Adventureworks_sales_shoppingcartitem,shoppingcartitem,Contains online customer orders until the order is submitted or cancelled.,AS3,AS3_Adventureworks_sales_shoppingcartitem
AS3_Adventureworks_sales_specialoffer,specialoffer,Sale discounts lookup table.,AS3,AS3_Adventureworks_sales_specialoffer
AS3_Adventureworks_sales_store,store,Customers (resellers) of Adventure Works products.,AS3,AS3_Adventureworks_sales_store
AS3_Adventureworks_production_productlistpricehistory,productlistpricehistory,Changes in the list price of a product over time.,AS3,AS3_Adventureworks_production_productlistpricehistory
AS3_Adventureworks_person_vadditionalcontactinfo,vadditionalcontactinfo,,AS3,AS3_Adventureworks_person_vadditionalcontactinfo
AS3_Adventureworks_humanresources_vemployee,vemployee,,AS3,AS3_Adventureworks_humanresources_vemployee
AS3_Adventureworks_humanresources_vemployeedepartment,vemployeedepartment,,AS3,AS3_Adventureworks_humanresources_vemployeedepartment
AS3_Adventureworks_humanresources_vemployeedepartmenthistory,vemployeedepartmenthistory,,AS3,AS3_Adventureworks_humanresources_vemployeedepartmenthistory
AS3_Adventureworks_sales_vindividualcustomer,vindividualcustomer,,AS3,AS3_Adventureworks_sales_vindividualcustomer
AS3_Adventureworks_sales_vpersondemographics,vpersondemographics,,AS3,AS3_Adventureworks_sales_vpersondemographics
AS3_Adventureworks_humanresources_vjobcandidate,vjobcandidate,,AS3,AS3_Adventureworks_humanresources_vjobcandidate
AS3_Adventureworks_humanresources_vjobcandidateemployment,vjobcandidateemployment,,AS3,AS3_Adventureworks_humanresources_vjobcandidateemployment
AS3_Adventureworks_humanresources_vjobcandidateeducation,vjobcandidateeducation,,AS3,AS3_Adventureworks_humanresources_vjobcandidateeducation
AS3_Adventureworks_production_vproductmodelcatalogdescription,vproductmodelcatalogdescription,,AS3,AS3_Adventureworks_production_vproductmodelcatalogdescription
AS3_Adventureworks_production_vproductmodelinstructions,vproductmodelinstructions,,AS3,AS3_Adventureworks_production_vproductmodelinstructions
AS3_Adventureworks_sales_vsalesperson,vsalesperson,,AS3,AS3_Adventureworks_sales_vsalesperson
AS3_Adventureworks_sales_vsalespersonsalesbyfiscalyearsdata,vsalespersonsalesbyfiscalyearsdata,,AS3,AS3_Adventureworks_sales_vsalespersonsalesbyfiscalyearsdata
AS3_Adventureworks_sales_vsalespersonsalesbyfiscalyears,vsalespersonsalesbyfiscalyears,,AS3,AS3_Adventureworks_sales_vsalespersonsalesbyfiscalyears
AS3_Adventureworks_sales_vstorewithaddresses,vstorewithaddresses,,AS3,AS3_Adventureworks_sales_vstorewithaddresses
AS3_Adventureworks_purchasing_vvendorwithcontacts,vvendorwithcontacts,,AS3,AS3_Adventureworks_purchasing_vvendorwithcontacts
AS3_Adventureworks_purchasing_vvendorwithaddresses,vvendorwithaddresses,,AS3,AS3_Adventureworks_purchasing_vvendorwithaddresses
AS3_Adventureworks_sales_vstorewithdemographics,vstorewithdemographics,,AS3,AS3_Adventureworks_sales_vstorewithdemographics
AS3_Adventureworks_sales_vstorewithcontacts,vstorewithcontacts,,AS3,AS3_Adventureworks_sales_vstorewithcontacts
AS3_Adventureworks_pe_a,a,,AS3,AS3_Adventureworks_pe_a
AS3_Adventureworks_pe_at,at,,AS3,AS3_Adventureworks_pe_at
AS3_Adventureworks_pe_be,be,,AS3,AS3_Adventureworks_pe_be
AS3_Adventureworks_pe_bea,bea,,AS3,AS3_Adventureworks_pe_bea
AS3_Adventureworks_pe_bec,bec,,AS3,AS3_Adventureworks_pe_bec
AS3_Adventureworks_pe_ct,ct,,AS3,AS3_Adventureworks_pe_ct
AS3_Adventureworks_pe_cr,cr,,AS3,AS3_Adventureworks_pe_cr
AS3_Adventureworks_pe_e,e,,AS3,AS3_Adventureworks_pe_e
AS3_Adventureworks_pe_pa,pa,,AS3,AS3_Adventureworks_pe_pa
AS3_Adventureworks_pe_p,p,,AS3,AS3_Adventureworks_pe_p
AS3_Adventureworks_pe_pp,pp,,AS3,AS3_Adventureworks_pe_pp
AS3_Adventureworks_pe_pnt,pnt,,AS3,AS3_Adventureworks_pe_pnt
AS3_Adventureworks_pe_sp,sp,,AS3,AS3_Adventureworks_pe_sp
